user_id,blanks,comments,language,cloc,avg_memory,wall_clock,system_time,compiler_version,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
dmikhalin,1,0,Python,13,0,0.00,0.00,2.7,0,0,0,0,2,0,0,-,6160,0.00
dn0530,1,2,C++,17,0,0.00,0.00,-,0,1,0,0,127,0,0,-,1432,0.00
dob,12,1,Python,42,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6956,0.00
dogchaos,13,3,Java,44,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21404,0.03
dohatsu,3,1,C++,21,0,0.00,0.00,-,0,0,0,0,0,0,0,11208,2372,0.00
doktoren,3,1,Python,14,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6548,0.00
doldom,2,0,C++,14,0,0.00,0.00,-,0,0,0,0,0,0,0,7752,2196,0.00
domeng,1,0,C++,29,0,0.00,0.00,-,0,0,0,0,0,0,0,7296,2256,0.00
dong920740928,4,0,C++,22,0,0.00,0.00,-,0,0,0,0,0,0,0,8840,2516,0.00
dongockhanh1997,1,0,C++,14,-,-,-,-,-,0,-,-,134,-,-,11264,-,-
donjohn,10,1,C++,34,0,0.00,0.00,-,0,0,0,0,0,0,0,10208,2472,0.00
doodhwala,7,5,C,28,0,0.00,0.00,-,0,0,0,0,127,0,0,7072,1420,0.00
doodoo,7,0,Python,14,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6552,0.00
doudouille,10,0,C++,35,0,0.00,0.00,-,0,0,0,0,0,0,0,10048,2612,0.00
dp13102,8,23,Java,29,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21564,0.03
dpaneda,5,1,Python,11,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6436,0.00
dragonknight,0,0,C++,25,0,0.00,0.00,-,0,0,0,0,0,0,0,10752,2604,0.00
dragonslayerx,2,1,C++,30,0,0.03,0.03,-,0,0,0,0,0,1328,0,10136,2580,0.00
