user_id,blanks,coments,language,cloc
Bobik,17,2,C++,72
Hwhitetooth,5,0,C++,81
angwuy,13,0,C++,78
Breakun,6,0,C++,114
msg555,13,4,C++,127
francis1,17,2,C++,60
pershik,7,1,C++,111
Vitaliy,20,1,C,127
Swistakk,20,1,C++,118
Krazul,7,1,C++,108
gchebanov,3,0,C++,55
2rf,20,0,java,110
blmarket,22,2,C++,115
JAPLJ,8,0,C++,84
Lovro,32,0,C++,153
mzry1992,27,2,C++,130
uwi,22,15,java,163
tomerun,12,9,java,68
AlexAlvarez,17,0,C++,79
blegat,4,0,C++,65
monyura,4,0,C++,60
tmt514,27,2,C++,154
fixme,5,0,C++,49
eatmore,13,12,java,105
Jokser,22,2,java,96
dancho,20,0,C++,110
cmd,11,0,C++,97
jmurray,18,13,Python,129
chavit92,17,0,java,79
zhanyl,18,3,C++,137
thinfaifai,17,1,C++,108
a70babat,7,0,C++,78
mbalunovic,14,0,C++,102
PaulJefferys,22,5,C++,179
tongcx,21,12,Python,103
DamianS,22,5,C++,179
MaximKalinin,18,6,java,145
lunae,17,2,C++,108
ashmelev,7,0,C++,41
malcin,13,0,C++,78
IvanRomanov,24,4,java,133
amashrabov,22,1,C++,172
Tedium,11,0,C++,97
Gullesnuffs,13,1,C++,116
GlebsHP,1,0,C++,83
simonlindholm,5,0,C++,49
meshanya,14,6,C++,110
Goofy57,4,3,C++,63
ConanKudo247,11,7,C++,115
darkKelvin,11,0,C++,125
RomaWhite,23,0,C++,127
fagu,26,1,C++,156
permin,6,0,C++,44
Lukasz16a,11,7,C++,115
tjhance7,22,3,C++,169
Nerevar,0,2,C++,64
ah1926,13,4,C++,127
blueblimp,33,2,C++,163
mishastassen,6,0,java,44
austrin,8,0,C++,84
orenguy,11,0,C++,91
sune2,18,1,C++,91
Stigius,8,0,C++,66
hansonw,22,3,C++,169
vlad107,7,1,java,111
NALP,8,0,C++,66
diogoholanda,9,0,C++,89
IcePupil,8,0,C++,39
gawry,34,3,C++,268
Fdg,32,3,C++,291
Kriiii,7,1,C++,108
liuq901,26,1,C++,156
malcolm734,23,2,C++,113
freak93,11,0,C++,42
vpj,6,2,C++,75
ichyo,12,1,C++,80
kolesov93,4,0,C++,65
LGM,5,0,C++,22
nathanajah,7,1,C++,165
Anudeep2011,4,0,C++,60
surwdkgo,5,0,C++,51
iakudryashov,20,1,C++,127
ACMonster,7,1,C++,165
madokamylove,17,2,C++,108
hhb,11,0,C++,125
vepifanov,11,0,C++,91
Fumiya,33,2,C++,163
xcwgf666,9,0,C++,92
aa2985759,3,15,C++,78
EricStansifer,14,0,Python,97
Fcdkbear,9,4,C++,85
BenZ,3,0,C++,83
wata,8,0,java,63
W4yneb0t,23,2,C++,113
fanhqme,6,0,Python,95
ftiasch,14,0,java,100
VArtem,22,2,java,115
RuslanGatin,22,1,C++,172
Dumbear2,14,0,C++,125
sourspinach,9,0,C++,89
Wataru,27,3,C++,137
chokudai,24,0,C#,107
ibudiselic,23,0,C++,127
MauricioC,6,0,C++,89
kostyaby,14,0,C++,125
